index,Skills,Count,Count2
767,complex data processing,complex data processing,1
768,compliance technology,compliance technology,1
769,computing frameworks,computing frameworks,1
770,consultant,consultant,32
771,consumer insights,consumer insights,6
772,consumer lending environment,consumer lending environment,1
773,continuous integration tools,continuous integration tools,1
774,conversion,conversion,25
775,core analytic methods,core analytic methods,1
776,credit risk modeling,credit risk modeling,2
777,credit scoring,credit scoring,1
778,current software development tools,current software development tools,1
779,cute bears,cute bears,1
780,dashboarding tools,dashboarding tools,4
781,data ETL processes,data ETL processes,1
782,data analytics role,data analytics role,1
783,data applications,data applications,4
784,data architecture,data architecture,30
785,data build tool,data build tool,2
786,data consulting experience,data consulting experience,1
787,data curation,data curation,1
788,data integration,data integration,17
789,data management,data management,64
790,data manipulation,data manipulation,43
791,data manipulation technologies,data manipulation technologies,1
792,data mining themes,data mining themes,1
793,data mining tools,data mining tools,1
794,data platforms,data platforms,29
795,data presentation,data presentation,1
796,data privacy regulations,data privacy regulations,1
797,data scientist,data scientist,261
798,data scientist discipline,data scientist discipline,1
799,data scripting languages,data scripting languages,1
800,data stack,data stack,2
801,data tools,data tools,36
802,data visualisation tools,data visualisation tools,3
803,data visualization applications,data visualization applications,1
804,data warehouses,data warehouses,22
805,data warehousing,data warehousing,18
806,database design,database design,18
807,database development,database development,2
808,dbt,dbt,12
809,deep learning libraries,deep learning libraries,4
810,deep learning methods,deep learning methods,2
811,deep neural networks architectures,deep neural networks architectures,5
812,desktop environment,desktop environment,1
813,development tools,development tools,9
814,different recommender systems,different recommender systems,1
815,digital advertising,digital advertising,17
816,digital analytics metrics,digital analytics metrics,1
817,digital data,digital data,1
818,digital instrumentation,digital instrumentation,1
819,digital media analytics,digital media analytics,1
820,discrete event simulation,discrete event simulation,2
821,e-commerce,e-commerce,28
822,earth sciences,earth sciences,2
823,ed tech,ed tech,89
824,either,either,48
825,end,end,2294
826,end development,end development,27
827,end implementation,end implementation,1
828,engineering information migration,engineering information migration,1
829,enterprise,enterprise,228
830,enterprise business intelligence platforms,enterprise business intelligence platforms,1
831,enterprise content management platforms,enterprise content management platforms,1
832,equivalent,equivalent,241
833,experimental design,experimental design,29
834,experiments,experiments,84
835,exploratory data analysis,exploratory data analysis,9
836,feature extraction,feature extraction,2
837,fields,fields,61
838,financial industry,financial industry,4
839,financial mathematics,financial mathematics,1
840,financial services industry,financial services industry,5
841,fintech,fintech,3
842,focus,focus,407
843,form,form,3650
844,framework,framework,283
845,full software development cycle,full software development cycle,1
846,game development,game development,11
847,geoscience application,geoscience application,2
848,git,git,548
849,good communication skills,good communication skills,3
850,governance,governance,77
851,graph neural networks,graph neural networks,1
852,haves,haves,34
853,health care sector,health care sector,1
854,healthcare information protocols,healthcare information protocols,1
855,high availability,high availability,7
856,high performance computing,high performance computing,2
857,incomplete data,incomplete data,3
858,information technology,information technology,10
859,inline,inline,1
860,insightful business information,insightful business information,1
861,interactive visualization,interactive visualization,5
862,intermediate knowledge,intermediate knowledge,1
863,internships,internships,20
864,interpretation,interpretation,31
865,inventory management,inventory management,2
866,kdb+,kdb+,6
867,large data environments,large data environments,1
868,large datasets,large datasets,44
869,large enterprises,large enterprises,4
870,large volumes,large volumes,19
871,learning algorithms,learning algorithms,50
872,like operating systems,like operating systems,1
873,linear models,linear models,5
874,machine learning tools,machine learning tools,5
875,majority,majority,6
876,management,management,624
877,manufacturing environment,manufacturing environment,1
878,many,many,123
879,mathematical model development,mathematical model development,1
880,mathematical programming,mathematical programming,5
881,measurement problems,measurement problems,2
882,media,media,160
883,media owner,media owner,1
884,medical data,medical data,4
885,migration,migration,28
